Transaction_ID,Customer_ID,Customer_Name,Customer_Email,Gender,Province,Order_Date,Load_Timestamp,Product_Category,Quantity,Unit_Price,Discount_Rate,Transaction_Amount,Payment_Method,Order_Status,Is_Promotion,Customer_Email_Original,Is_Email_Imputed,Email_Impute_Flag,Province_Original,Is_Province_Imputed,Province_Impute_Flag,Is_Order_Date_Imputed,Is_Quantity_Valid,Expected_Amount,Amount_Diff,Accuracy_Flag,Transaction_Amount_Original,Is_Order_Status_Valid,Is_Outlier,Transaction_Amount_Before_Cap,Order_Date_dt,Load_Timestamp_dt,Load_Delay_Hours,Is_Late
T000127,C0103,Tee Phromla,tee.phromla103@example.com,F,Phuket,2026-06-11,2026-06-11 05:00:00,Sports,3,110.26,0.05,314.24,Unknown,Cancelled,N,tee.phromla103@example.com,False,Original,Phuket,False,Original,False,True,314.24,0.0,False,314.24,True,False,314.24,2026-06-11,2026-06-11 05:00:00,5.0,False
T000169,C0138,Mint Dechawat,mint.dechawat138@example.com,M,Khon Kaen,2026-01-24,2026-01-24 01:00:00,Home,3,138.08,0.05,393.53,PromptPay,Processing,N,mint.dechawat138@example.com,False,Original,Khon Kaen,False,Original,False,True,393.53,0.0,False,393.53,True,False,393.53,2026-01-24,2026-01-24 01:00:00,1.0,False
T000003,C0071,Aom Sukjai,aom.sukjai71@example.com,M,Chanthaburi,2026-05-29,2026-05-29 05:00:00,Home,4,263.93,0.0,1055.72,Cash on Delivery,Cancelled,N,aom.sukjai71@example.com,False,Original,Chanthaburi,False,Original,False,True,1055.72,0.0,False,1055.72,True,False,1055.72,2026-05-29,2026-05-29 05:00:00,5.0,False
T000336,C0152,Tee Dechawat,tee.dechawat152@example.com,M,Chanthaburi,2026-01-02,2026-02-01 18:00:00,Food,6,116.53,0.1,629.26,Bank Transfer,Returned,N,tee.dechawat152@example.com,False,Original,Chanthaburi,False,Original,False,True,629.26,0.0,False,629.26,True,False,629.26,2026-01-02,2026-02-01 18:00:00,738.0,True
T000093,C0090,Mook Sukjai,mook.sukjai90@example.com,M,Chanthaburi,2026-04-18,2026-04-18 13:00:00,Electronics,5,358.35,0.0,1791.75,PromptPay,Processing,N,mook.sukjai90@example.com,False,Original,Chanthaburi,False,Original,False,True,1791.75,0.0,False,1791.75,True,False,1791.75,2026-04-18,2026-04-18 13:00:00,13.0,False
T000440,C0038,Boss Kittikul,boss.kittikul38@example.com,F,Nakhon Ratchasima,2026-02-23,2026-02-23 05:00:00,Sports,6,142.14,0.0,852.84,Credit Card,Processing,N,boss.kittikul38@example.com,False,Original,Nakhon Ratchasima,False,Original,False,True,852.84,0.0,False,852.84,True,False,852.84,2026-02-23,2026-02-23 05:00:00,5.0,False
T000419,C0147,Film Chaiyo,film.chaiyo147@example.com,M,Chiang Mai,2026-01-06,2026-06-01 10:00:00,Fashion,2,334.89,0.0,669.78,Bank Transfer,Processing,N,film.chaiyo147@example.com,False,Original,Chiang Mai,False,Original,False,True,669.78,0.0,False,669.78,True,False,669.78,2026-01-06,2026-06-01 10:00:00,3514.0,True
T000307,C0018,Nont Chaiyo,nont.chaiyo18@example.com,M,Phuket,2026-02-06,2026-02-06 13:00:00,Home,4,484.67,0.0,1938.68,Bank Transfer,Completed,N,nont.chaiyo18@example.com,False,Original,Phuket,False,Original,False,True,1938.68,47.6400000000001,True,1891.04,True,False,1938.68,2026-02-06,2026-02-06 13:00:00,13.0,False
T000438,C0073,May Lertprasert,may.lertprasert73@example.com,M,Bangkok,2026-02-26,2026-02-26 09:00:00,Sports,6,238.93,0.1,1290.22,Bank Transfer,Processing,N,may.lertprasert73@example.com,False,Original,Bangkok,False,Original,False,True,1290.22,0.0,False,1290.22,True,False,1290.22,2026-02-26,2026-02-26 09:00:00,9.0,False
T000544,C0103,Tee Phromla,tee.phromla103@example.com,F,Phuket,2026-04-25,2026-04-25 03:00:00,Beauty,5,68.77,0.05,326.66,Bank Transfer,Returned,Y,tee.phromla103@example.com,False,Original,Phuket,False,Original,False,True,326.66,0.0,False,326.66,True,False,326.66,2026-04-25,2026-04-25 03:00:00,3.0,False
T000141,C0116,Boss Wongsa,boss.wongsa116@example.com,F,Chonburi,2026-06-19,2026-06-19 06:00:00,Food,4,98.35,0.0,393.4,Credit Card,Cancelled,N,boss.wongsa116@example.com,False,Original,Chonburi,False,Original,True,True,393.4,0.0,False,393.4,True,False,393.4,2026-06-19,2026-06-19 06:00:00,6.0,False
T000476,C0081,Film Srisawat,film.srisawat81@example.com,M,Chonburi,2026-03-20,2026-03-20 09:00:00,Food,4,432.12,0.0,1728.48,Bank Transfer,Processing,N,film.srisawat81@example.com,False,Original,Chonburi,False,Original,False,True,1728.48,0.0,False,1728.48,True,False,1728.48,2026-03-20,2026-03-20 09:00:00,9.0,False
T000433,C0007,Jane Saelim,jane.saelim7@example.com,M,Chiang Mai,2026-02-11,2026-02-11 17:00:00,Food,6,225.36,0.05,1284.55,PromptPay,Processing,Y,jane.saelim7@example.com,False,Original,Chiang Mai,False,Original,False,True,1284.55,0.0,False,1284.55,True,False,1284.55,2026-02-11,2026-02-11 17:00:00,17.0,False
T000589,C0029,Aom Pattanakul,aom.pattanakul29@example.com,F,Bangkok,2026-03-21,2026-03-21 08:00:00,Food,6,131.69,0.05,750.63,Cash on Delivery,Completed,N,aom.pattanakul29@example.com,False,Original,Bangkok,False,Original,False,True,750.63,0.0,False,750.63,True,False,750.63,2026-03-21,2026-03-21 08:00:00,8.0,False
